Job Title,Company,Location,Posted Date,Job URL,Description
"Vice President, Asset Management Legal Counsel",BlackRock,"Atlanta, GA",2 weeks ago,https://www.linkedin.com/jobs/view/vice-president-asset-management-legal-counsel-at-blackrock-4307124158?position=1&pageNum=0&refId=az22nypzXJZaM6DIkp5izw%3D%3D&trackingId=lBx0FK%2BvttpudtvkjjpndQ%3D%3D,
"Data Analyst, Specialist",Vanguard,"Charlotte, NC",2 weeks ago,https://www.linkedin.com/jobs/view/data-analyst-specialist-at-vanguard-4305768197?position=1&pageNum=0&refId=sHt8ns4KIZySu22N5Z0MVQ%3D%3D&trackingId=zbe16I4qCjY915RzQ3BM2g%3D%3D,
Banking Analyst,Vanguard,N/A,N/A,https://www.linkedin.com/jobs/view/banking-analyst-at-vanguard-4315876587?position=2&pageNum=0&refId=sHt8ns4KIZySu22N5Z0MVQ%3D%3D&trackingId=aJUkjITSUoVW5p0OX%2FRTOw%3D%3D,
